hospital_id,hospital_name,city_id,hospital_type,bed_capacity,contact_number
67,KEM Hospital,2,Government Hospital,75,+91-9509023674
68,Civil Hospital,16,Government Hospital,486,+91-9281169403
69,Apollo Hospital,6,Community Health Center,91,+91-7798112150
70,District Hospital,3,Government Hospital,84,+91-9900015820
71,Grant Medical Hospital,8,Government Hospital,341,+91-8057486868
72,District Hospital,19,Government Hospital,70,+91-9660223333
73,Grant Medical Hospital,3,Community Health Center,339,+91-9245334677
74,Safdarjung Hospital,11,Private Hospital,392,+91-8349409434
75,Safdarjung Hospital,8,Primary Health Center,117,+91-9884887548
76,Victoria Hospital,10,Medical College,434,+91-7311570307
77,Victoria Hospital,1,Community Health Center,338,+91-7429416213
78,Civil Hospital,3,Government Hospital,159,+91-9172758220
79,Fortis Hospital,9,Medical College,85,+91-8049193572
80,Safdarjung Hospital,12,Private Hospital,274,+91-9333103372
81,District Hospital,10,Government Hospital,463,+91-9808806886
82,Apollo Hospital,17,Community Health Center,203,+91-9849232839
83,Fortis Hospital,4,Medical College,109,+91-7459716009
84,Fortis Hospital,18,Medical College,194,+91-9597724331
85,KEM Hospital,7,Private Hospital,401,+91-9724031273
86,Civil Hospital,9,Government Hospital,300,+91-8078557553
87,Max Hospital,2,Primary Health Center,474,+91-8188332531
88,Apollo Hospital,2,Medical College,444,+91-7561866144
89,Fortis Hospital,9,Primary Health Center,332,+91-8836901321
90,Apollo Hospital,18,Government Hospital,88,+91-9967906665
91,Civil Hospital,5,Government Hospital,68,+91-8585770584
92,Civil Hospital,19,Government Hospital,125,+91-8845919895
93,Apollo Hospital,5,Medical College,236,+91-7171347175
94,AIIMS Hospital,12,Government Hospital,399,+91-8071722055
95,KEM Hospital,4,Community Health Center,497,+91-8745377599
96,Fortis Hospital,20,Private Hospital,492,+91-7697939765
97,Grant Medical Hospital,6,Government Hospital,141,+91-8426725702
98,AIIMS Hospital,14,Government Hospital,186,+91-7683749521
99,Grant Medical Hospital,4,Government Hospital,489,+91-9021598245
100,AIIMS Hospital,8,Government Hospital,468,+91-8976987348
101,Safdarjung Hospital,12,Private Hospital,164,+91-7101637979
102,Grant Medical Hospital,7,Medical College,192,+91-7298159856
103,KEM Hospital,9,Community Health Center,254,+91-9918508077
104,KEM Hospital,18,Government Hospital,109,+91-8121910732
105,District Hospital,6,Government Hospital,185,+91-7164313410
106,District Hospital,4,Government Hospital,272,+91-8484714820
107,Grant Medical Hospital,11,Community Health Center,311,+91-7496694873
108,District Hospital,13,Government Hospital,147,+91-8094024844
109,Grant Medical Hospital,2,Government Hospital,316,+91-9312633708
110,KEM Hospital,7,Primary Health Center,85,+91-9852879124
111,District Hospital,11,Government Hospital,210,+91-9849227494
112,Safdarjung Hospital,4,Community Health Center,208,+91-9864283209
113,KEM Hospital,14,Primary Health Center,406,+91-8269829408
114,Fortis Hospital,18,Private Hospital,265,+91-9855850145
115,Fortis Hospital,13,Community Health Center,341,+91-8292569882
116,Civil Hospital,13,Government Hospital,476,+91-7001743499
117,Safdarjung Hospital,10,Private Hospital,270,+91-9491015654
118,KEM Hospital,20,Primary Health Center,276,+91-8899061865
119,Civil Hospital,7,Government Hospital,292,+91-7728818981
120,Safdarjung Hospital,3,Community Health Center,389,+91-9718460279
121,KEM Hospital,20,Government Hospital,469,+91-8008752943
122,AIIMS Hospital,10,Government Hospital,462,+91-7855256552
123,Apollo Hospital,5,Government Hospital,175,+91-9040695043
124,Max Hospital,20,Primary Health Center,262,+91-9704821724
125,AIIMS Hospital,19,Government Hospital,417,+91-9990818727
126,Victoria Hospital,13,Primary Health Center,174,+91-7633814084
127,Max Hospital,1,Primary Health Center,162,+91-7755427535
128,Victoria Hospital,17,Government Hospital,335,+91-8070298438
129,Victoria Hospital,4,Private Hospital,460,+91-8995627518
130,Civil Hospital,17,Government Hospital,354,+91-8362784338
131,District Hospital,15,Government Hospital,467,+91-9168005699
132,Civil Hospital,14,Government Hospital,278,+91-7683577992
133,Victoria Hospital,16,Medical College,434,+91-8061886576
134,Civil Hospital,9,Government Hospital,298,+91-9691864041
135,Safdarjung Hospital,8,Primary Health Center,89,+91-8227193073
136,Safdarjung Hospital,8,Medical College,213,+91-9319936135
137,Fortis Hospital,3,Private Hospital,168,+91-8645124051
138,AIIMS Hospital,5,Government Hospital,82,+91-8781844052
139,KEM Hospital,14,Community Health Center,288,+91-8785736751
140,AIIMS Hospital,2,Government Hospital,476,+91-8804502687
141,District Hospital,13,Government Hospital,406,+91-7083889094
142,Grant Medical Hospital,19,Primary Health Center,53,+91-8510792572
143,Grant Medical Hospital,10,Primary Health Center,325,+91-9345620385
144,AIIMS Hospital,20,Government Hospital,299,+91-7942408767
145,Grant Medical Hospital,9,Primary Health Center,64,+91-8670128972
146,Grant Medical Hospital,11,Private Hospital,480,+91-9007425404
147,District Hospital,5,Government Hospital,323,+91-7115820025
148,District Hospital,13,Government Hospital,338,+91-9847562279
149,Max Hospital,1,Primary Health Center,119,+91-8982979741
150,Apollo Hospital,6,Medical College,244,+91-8405969000
